"serial_no","name_of_event","event_domain","date_of_event","time_of_event","venue","mode_of_event","registration_fee","speakers","faculty_coordinators","student_coordinators","perks","collaboration","description_insights","search_text","embedding"
"1","Find the Queen","Gamified / Puzzles","2024-02-22","NaN","NaN","Offline","0","NaN","Dr. Umitty Srinivasa Rao","Sathvik Guptha A, Rithu Naidu","NaN","NaN","Find the Queen"""" is an entertaining memory and strategy game that draws inspiration from the timeless story of Ram and Sita. Players navigate a grid of face-down cards... Locate the elusive Queen card... by flipping cards in pairs and remembering their positions.","Event: Find the Queen
Domain: Gamified / Puzzles
Date: 2024-02-22
Time: N/A
Venue: N/A
Mode: Offline
Fee: 0
Speakers: N/A
Faculty: Dr. Umitty Srinivasa Rao
Students: Sathvik Guptha A, Rithu Naidu
Description: Find the Queen"""" is an entertaining memory and strategy game that draws inspiration from the timeless story of Ram and Sita. Players navigate a grid of face-down cards... Locate the elusive Queen card... by flipping cards in pairs and remembering their positions.
Perks: N/A
Collaboration: N/A","[-0.023521595,-0.03120246,0.02938572,-0.013494761,0.03012725,-0.012277765,0.028914481,0.058801357,-0.03302575,0.012250012,-0.00830423,-0.009218036,-0.014427429,0.003793309,0.033392616,0.04230925,-0.017391264,-0.024542725,0.015438686,-0.04006318,0.023615234,0.021274263,0.030199274,0.051223822,0.05097204,0.010307354,0.050974995,0.016216125,-0.027359588,0.008910246,0.05456265,-0.056402493,0.03319721,0.016675705,0.0030350194,-0.024683086,-0.012196092,0.03159927,0.04378744,0.009599768,-0.038716473,-0.03889825,0.009795934,-0.0061314683,-0.03476266,0.041927006,-0.09169427,0.012707044,0.008916652,-0.002459934,-0.036396544,0.06146243,0.037028983,0.0071205306,-0.02784767,0.04199203,0.032109555,-0.016322523,-0.027376434,-0.06512708,0.0544104,0.045274906,-0.03310597,-0.030147968,0.01455469,0.0112154195,0.0333946,0.02561173,-0.03631795,0.01265046,-0.07891723,0.02930907,0.06610743,-0.012560375,-0.020316126,-0.02831389,-0.010384106,0.0340075,0.0494813,0.012599169,-0.015100305,-0.059181638,0.011307762,0.017542455,0.0038101128,-0.021789186,-0.05551113,-0.09733268,-0.06529273,0.044805266,-0.060227726,-0.052257746,0.025442755,0.051619828,0.012002103,0.020447703,0.046517324,-0.032184474,-0.021889439,-0.00021187513,-0.02182076,-0.030724952,-0.01090061,-0.004366628,-0.08252265,0.0012513167,0.018676246,-0.05862246,-0.020063667,0.025509832,-0.017571047,-0.0010569078,0.027272893,-0.013557155,-0.036780555,0.08222512,0.0030697053,0.027390424,-0.011375313,0.05166342,0.025342314,0.013967153,0.026514627,0.03909833,0.04779137,0.041257508,0.00017000701,-0.024511231,-0.04125601,-0.08642624,0.047568474,0.01511124,-0.027016621,0.025035353,0.0101966495,-0.028410144,0.012287861,-0.03622263,0.027989654,0.0065362155,-0.031015148,-0.005667001,0.02193396,0.0062027643,0.062295232,0.02470161,-0.0031072297,-0.047375336,-0.024123872,0.011708914,-0.027079737,0.006724461,0.032832246,-0.042188246,-0.0073636207,0.062310804,0.023419527,0.045419026,-0.026942205,0.008739953,0.013840026,0.004678816,-0.019025227,0.004437342,-0.03437667,-0.012714752,0.07406732,0.022051094,-0.03557778,-0.035231788,-0.047089044,-0.0686138,0.057752836,-0.0011017305,-0.036865916,0.00042547984,0.028513605,0.008871588,0.018539844,-0.021769442,-0.060976684,0.0072567877,-0.0009714728,0.019838506,0.03267453,-0.01630916,0.06393799,-0.023998355,-0.035149448,0.025570184,-0.04559588,-0.048545703,0.011851592,0.008338854,0.052152347,0.0056404676,0.027899645,0.067253366,-0.029064976,0.06010282,0.019977117,0.02895294,0.034077235,-0.026903162,-0.02986231,-0.007871949,-0.008482924,-0.01146984,-0.0013660352,-0.010627072,0.000018496345,-0.0009268303,0.052361242,0.014240515,0.00039108295,0.019706164,0.011246988,0.020421054,0.032561682,-0.014781484,0.04305199,-0.013823494,0.0031060704,-0.023000492,-0.0077478094,0.12357073,-0.010270278,-0.035067286,-0.013981962,0.028045543,-0.01911146,0.0018527311,0.040712714,0.0056108325,-0.05443557,-0.0058446666,-0.026586642,-0.053974994,0.048598282,-0.030334484,-0.0032875687,0.041538544,-0.028733088,0.04935905,-0.0072151343,0.015082726,-0.0016838609,-0.043782942,-0.030321736,-0.030116811,0.018737465,-0.009740653,0.020306963,0.04938841,-0.023032235,-0.027273001,-0.017912006,-0.013256186,0.062831186,0.025114361,-0.012659249,0.06973985,0.0024127832,-0.027178189,-0.034655865,-0.06580612,-0.008788457,-0.0017442539,-0.013373088,0.029215299,0.0523794,-0.035350133,-0.030192746,-0.009726799,-0.04375854,-0.013205101,0.009502819,-0.010323196,-0.004101231,-0.021648057,-0.018919991,0.0286666,-0.074143894,-0.023861742,-0.0042829677,-0.012814236,-0.043946933,-0.06236939,-0.02439302,0.03370457,0.023071669,0.08314911,-0.037452776,-0.00022191663,0.043915734,0.021040482,-0.005351597,0.039157014,0.024088189,0.015235329,-0.021689871,0.032965906,0.0021741877,0.010060987,0.028317204,-0.04679048,0.016622785,0.015860658,-0.25762862,-0.035742752,0.04332056,0.019989295,0.030338617,0.014727515,0.022795852,-0.002477381,-0.006684571,-0.00905368,0.018693488,-0.004289904,0.01566571,0.014299145,0.021248702,0.03942561,0.013137112,-0.042343717,-0.019006025,0.063281916,-0.019747693,-0.040720787,-0.02004216,0.032149352,0.022446716,0.023395302,-0.03243547,-0.05642548,-0.0385781,0.0050476384,0.07635513,-0.004343974,-0.0059396247,-0.019419247,-0.0007691706,0.013779379,0.05771904,-0.012670127,-0.0013829664,0.021659132,-0.0024638,-0.03812281,0.00075413566,-0.0008620852,0.054632965,0.016089264,-0.018004235,-0.009186479,0.0157583,0.016756471,-0.011406092,-0.03050296,-0.043469395,-0.0073767104,-0.032714643,0.0065578083,-0.023598133,0.002233679,-0.02867314,-0.047842972,0.02298034,-0.017463425,-0.04182239,-0.02909703,-0.04881451,-0.10183357,-0.035411008,-0.012294972,0.059692647,0.064999685,-0.009586776,-0.04221138,-0.04429418,-0.09687029,-0.09378743,0.00082508335,-0.023384027,0.0181591,-0.017982062,-0.0008889902,-0.07104688,-0.014133652,0.022546018,0.041793425,-0.0011388478,-0.028081972,0.044931572,-0.036540695,-0.040230915,-0.0032955215,0.03538647,-0.0056273127,-0.062379062,0.009219105,0.0329934,0.0399225,0.015977448,-0.017308619,0.044196106,0.000036723308,0.031052139,-0.04420432,0.06104973,0.0063367425,-0.03312109,0.011863343,-0.012470073,-0.05806629,0.044536825,0.0087458175,-0.010347756,-0.021077288,-0.015659899,-0.020890795,0.012728996,-0.025815574,0.017410265,0.06685878,0.03566006,-0.016554004,-0.053668033,0.009988144,-0.019890975,-0.017605696,-0.035509378,-0.003560199,0.011640387,0.017729733,-0.0068657217,-0.03408817,0.019425621,-0.011975509,0.023347989,0.0054984894,0.019196142,-0.020726336,-0.042892337,0.020814322,-0.00033900066,-0.014375445,0.008995544,0.013014669,0.014080054,0.045664,0.047457702,-0.043879405,-0.029903334,0.036353204,0.042320874,0.016053386,-0.020070786,-0.013848769,0.058587745,-0.05457376,0.049522445,-0.061334062,0.03702542,0.005206059,0.0068991147,-0.049434323,0.0036347704,-0.080706105,0.031370703,-0.0010498172,-0.009077335,0.106148005,-0.000059714275,-0.03044907,0.0153324,0.003153434,0.03336162,-0.02563323,0.021697914,-0.031692717,-0.03988293,0.009340665,0.032053318,-0.015684772,0.009116626,-0.02440326,-0.058264926,-0.059291117,0.008440939,-0.0116449855,0.0205778,0.016009483,0.031515624,0.011658628,-0.0025858404,-0.013565646,0.014566678,0.022114052,-0.026632972,-0.05648427,-0.07076349,-0.051622376,0.010372501,0.0012634427,0.007858036,0.0033067341,0.01275769,-0.029283933,-0.048451412,0.028206132,0.046448953,-0.08454968,0.03154554,0.0028377492,-0.021722276,0.038225543,-0.029188607,0.0027584594,-0.026647799,-0.030714633,0.006291257,-0.042817812,-0.03951707,-0.047623992,0.049021658,0.03434006,-0.0038093028,0.019151809,-0.009417796,-0.018770397,-0.010055611,0.01642133,-0.005887739,-0.096177064,0.02309472,-0.012056883,0.050519377,-0.04175478,0.0077426047,0.0030517047,-0.014290428,-0.015438094,-0.0052235452,-0.016696084,-0.0055574505,0.017972236,0.035662495,-0.045430284,-0.02081933,-0.016058445,-0.01945471,0.027879883,0.03660065,0.0074529652,0.0029478904,0.05678633,0.027698,0.027754217,-0.015023112,0.01485667,0.025547363,-0.043897055,0.030306956,0.03435246,-0.04597995,-0.03439354,-0.009164971,0.008324318,-0.046856795,0.017094687,-0.013175347,0.0051881038,0.007466387,-0.04211689,0.063006625,-0.036946725,0.018630993,-0.06206208,0.015356639,0.029199215,-0.019599656,0.028385505,-0.012284966,-0.037897456,0.06835874,-0.02329648,-0.026994707,0.05133338,-0.061925832,-0.049708985,0.08307758,-0.045688774,-0.06335378,0.035948038,-0.008972636,0.003005395,-0.013397108,0.027441062,0.040559117,-0.014303306,-0.00261826,0.028695708,0.02776999,0.037440535,0.036244195,0.010937237,-0.053575423,0.046200685,0.053787634,0.020860134,0.04660827,-0.0012115187,-0.04177954,-0.038793433,0.037400976,-0.030121557,0.024324179,-0.034986425,0.07315853,0.0071633984,-0.07152482,-0.03965885,-0.00024297445,-0.021425197,0.025122821,-0.035377163,-0.008216373,0.012261407,0.091088444,0.046694335,0.077844426,0.03939802,0.011628197,-0.07113844,0.003081497,0.03567609,0.053335745,-0.010163688,-0.03257919,0.091016546,-0.04670067,-0.047181092,0.03483864,-0.0034389223,-0.007568728,0.009690945,0.013447347,0.040269222,0.008060491,0.037833713,-0.026079807,-0.011123315,0.08217969,0.010103351,0.008975193,0.046212297,0.0008502587,0.044267114,-0.045706917,0.0015029721,0.024482325,0.025013082,-0.0035810964,-0.009534193,-0.0062382105,0.010894005,-0.015367359,0.013167251,0.07444158,-0.016018173,-0.007409107,0.019055929,0.010246117,0.030771079,0.04833333,-0.0141601125,0.03514695,0.0049162908,-0.068735205,0.028090624,0.0292357,0.017225487,-0.022352742,-0.009346694,0.021597268,0.014033886,-0.021065148,0.018316235,-0.012047714,-0.05502297,-0.006232968,-0.061035033,-0.0088072885,0.024811193,-0.03211944,-0.067131124,-0.004013278,-0.021797903,0.026708985,-0.03460831,-0.024504246,-0.018585782,0.079456136,-0.00680021,0.017249359,0.02442475,0.040443256,-0.010092336,0.016478904,-0.040041298,0.030993804,0.021775106,-0.0036554923,-0.026093224,-0.09515141,-0.015146605,0.015066879,-0.044779528,-0.048430387,-0.0018439181,-0.032161567,0.013408464,0.070785634,0.04921944,-0.014546612,-0.026741516,-0.009430096,0.028331472,-0.009177982,0.032881726,-0.032701194,-0.000026740683,0.020050293,-0.005235266,-0.062888056,0.046613216,0.002444419,-0.010958644,-0.026206821,-0.039525576,-0.03695337,-0.11949806,-0.0023986138,0.03514707,-0.014974466,-0.05405281,-0.0013571267,0.03866951,0.054618556,0.032148235,-0.07005599,0.006000252,0.0060555274,-0.010185504,-0.034520872,0.0032735174,-0.020196019,0.0003011472,0.0355133,-0.03892808,0.0069489875,-0.006616225,-0.012233244,0.012347702,-0.0043815435,0.0069886157]"
"2","FUTURE FORGE: UNRAVALING THE INDUSTRIALIZATION 4.0 WITH AI DEBATE","AI / ML / Debate","2024-03-06","NaN","ab3-601, VIT Chennai Campus","Offline","0","NaN","Dr. Umitty Srinivasa Rao","Gokulnath N, Srikar Vedanabhatla","NaN","NaN","A debate event that helps participants to share their views and opinions on the theme: “Harmony or Hostility: Human-AI Collaboration in the Workplace” Discuss on several topics and prevailing key issues such as “Job Displacement vs. Skill Augmentation “ “Ethical Considerations in Human-AI Collaboration.”, “Building Trust in Human-AI Teams.”","Event: FUTURE FORGE: UNRAVALING THE INDUSTRIALIZATION 4.0 WITH AI DEBATE
Domain: AI / ML / Debate
Date: 2024-03-06
Time: N/A
Venue: ab3-601, VIT Chennai Campus
Mode: Offline
Fee: 0
Speakers: N/A
Faculty: Dr. Umitty Srinivasa Rao
Students: Gokulnath N, Srikar Vedanabhatla
Description: A debate event that helps participants to share their views and opinions on the theme: “Harmony or Hostility: Human-AI Collaboration in the Workplace” Discuss on several topics and prevailing key issues such as “Job Displacement vs. Skill Augmentation “ “Ethical Considerations in Human-AI Collaboration.”, “Building Trust in Human-AI Teams.”
Perks: N/A
Collaboration: N/A","[0.030467048,-0.011361616,0.03182164,0.04547048,0.053547602,0.025254797,-0.0008021997,0.03918509,0.014899227,-0.014080667,-0.030499654,0.03043892,-0.07219554,0.040383566,0.013021102,0.044910684,-0.0008536488,0.0074691502,0.0063429214,0.0066874456,0.0054104407,-0.0032762878,0.069446936,0.009636769,0.052904487,0.03611373,0.034959592,-0.014292988,-0.022147173,0.00049873255,0.017407583,-0.017061999,0.01684448,-0.03921369,-0.0070077744,0.0028357422,-0.04692761,0.02271179,0.012846587,0.05374345,-0.018064097,0.011969108,-0.013721802,-0.00035572625,-0.042992495,0.01606907,-0.08946405,0.02401231,-0.0130532775,-0.0009994198,-0.07258076,-0.016981486,0.0018281116,0.026141584,0.02165908,0.055141523,-0.00021513818,-0.079872586,-0.029902268,-0.033325277,0.038671594,0.017465563,-0.019457525,-0.016522182,0.0077934326,-0.028546114,0.029056283,-0.014767908,-0.07434205,0.023052625,-0.010635464,0.047487058,-0.022930251,0.006224809,0.0031101767,-0.08401799,-0.019218165,0.020353561,0.080813326,0.020790843,0.03541034,-0.014260573,0.023886891,0.024594368,-0.003461801,0.017213158,-0.008750597,-0.013820687,-0.032231383,0.02976345,-0.020434132,-0.035142954,0.02567773,0.054027535,0.031733677,0.06389564,0.012960808,0.01158657,-0.022177653,0.0045235637,-0.010867955,-0.012891629,-0.027343275,0.05829239,-0.0352936,0.06426173,-0.019338263,-0.04415927,-0.008898048,-0.017169049,-0.058901705,0.010645668,0.022760577,0.014002502,-0.06961843,0.046559844,-0.021155536,-0.019685708,0.002239117,0.0022447715,0.018158505,0.035492957,0.028317412,0.07043886,-0.009541783,0.07796073,-0.050453227,0.029353265,-0.038685285,-0.057422046,0.03160811,0.03750214,-0.0355321,-0.007632598,-0.0025601573,0.010613808,0.017707884,-0.00007899508,0.033359364,0.06112252,-0.033184487,-0.09348558,0.0735419,0.008977251,0.02580451,-0.014088877,-0.053169362,-0.03260586,-0.020429103,-0.03397115,-0.023084223,0.033526797,0.026805596,-0.053504586,0.020904694,0.06628374,0.052709922,-0.021190265,0.010374731,0.025230901,0.0058651473,0.021999989,-0.070675924,-0.030388605,-0.0169437,-0.0114504,0.010030429,-0.03868609,-0.004400495,-0.009289891,-0.03528507,-0.059667125,0.046831697,-0.02287088,-0.0049511697,0.005804229,0.085251436,0.01883827,0.026839444,-0.0054912865,-0.097569235,-0.0021085998,-0.019718466,0.03642378,0.03356403,-0.036707066,0.059020873,-0.009032112,-0.015597294,0.050704807,-0.037508357,-0.03599313,0.024802754,-0.015062244,0.077673614,-0.023959406,0.036196236,0.08024673,-0.017143123,0.043695405,0.010472278,0.001625495,0.01811643,-0.031679105,-0.007117731,-0.0042575346,0.0120033985,-0.010764687,-0.037060622,0.039756067,-0.002269835,-0.009377188,0.028530726,0.009244977,0.0063815797,0.0037179021,-0.0003065738,-0.018072346,0.0004402929,-0.015544565,0.07588803,-0.028886562,0.0057591037,-0.012124971,-0.0033746706,0.094477735,0.06354022,-0.050519366,-0.009358432,0.0050421,0.028006513,0.015964141,0.009595678,0.0018049901,-0.00013380664,-0.015909087,0.0035495597,-0.0094724065,0.030814901,-0.04600508,-0.012397014,0.05292761,-0.0076231733,0.058556,-0.011964145,0.007360126,0.023507798,-0.0125609115,-0.0011505978,-0.0033922645,0.0042813085,-0.03013088,0.008109863,-0.0074948184,-0.04293261,-0.05595017,0.0056006853,-0.02273299,0.023643378,0.044449624,-0.008481707,-0.0020470656,-0.06689683,-0.0153691545,0.02103146,-0.07270809,-0.03168019,-0.025674278,0.012528515,-0.03742334,0.052580327,-0.015887594,0.013542476,0.016203988,-0.016481725,0.034588184,-0.020326804,-0.009401462,-0.0651131,-0.037330035,-0.009448847,0.0022635998,-0.038012933,-0.044668198,0.0133132385,-0.017224604,-0.035183676,-0.08278418,-0.027046805,0.008272032,0.02014331,0.061255813,-0.012012936,0.0027331777,0.051027033,0.027449805,-0.01604466,0.012974223,-0.02003356,0.0012062843,-0.011580497,0.069405064,-0.030110534,-0.02817948,-0.006292079,-0.073455915,0.049664814,-0.0361873,-0.2383414,-0.005909476,0.00046301773,0.017558364,0.018891092,0.009589123,0.04226284,-0.044713713,0.0012144296,-0.046191562,0.0018887753,-0.017523564,0.0406211,0.031728886,-0.0032007329,0.004650565,0.021101447,-0.051723093,0.016654393,-0.0030760989,-0.058081903,0.014209095,-0.019008957,0.032465488,0.028950932,0.0077626435,-0.03809944,-0.0065391236,0.0141787,0.0038965982,-0.018107407,0.02566615,0.045552026,0.0070748194,0.09307458,0.030672198,0.028637266,0.013024724,0.011757895,-0.000669158,0.023578314,-0.013725932,0.0035997727,0.014598827,0.04008087,0.021884609,-0.045157753,0.0048351744,-0.039773744,0.027676454,-0.03988036,-0.031344254,-0.0013468281,-0.010969307,-0.00950089,0.00013591508,-0.03302426,-0.021982979,-0.024702461,-0.030516075,-0.047478456,-0.011110511,-0.05791252,-0.057542246,-0.047716644,-0.07164456,-0.020154059,-0.054208733,0.03333167,0.026988667,-0.0025449535,0.02494344,-0.02713514,-0.08723713,-0.02570277,0.0076148445,-0.015563506,-0.026155816,-0.035482895,0.06333352,-0.0529004,-0.050861318,0.031934276,-0.025513984,0.018587315,0.030110024,0.063878044,-0.063624375,-0.036201313,0.012848038,0.000546493,-0.021922888,-0.072863415,-0.02511981,0.05776662,0.037294284,0.022337358,0.010033915,0.016781105,0.02764634,0.01193192,-0.06416583,-0.001710213,-0.029566063,-0.02432354,0.010402038,-0.0266237,-0.0059652547,0.0478859,-0.0079947105,0.0127715655,-0.015449043,0.014985635,-0.030870229,-0.04694381,-0.015188528,-0.007320031,0.043290514,-0.003510138,-0.016296102,-0.051714923,0.031027103,-0.0116564175,-0.0037649241,-0.034230184,-0.04125529,-0.020711545,-0.009071267,0.03321275,-0.012067838,-0.042913966,0.018473478,0.010095788,-0.0017076489,0.039200358,0.020489428,-0.007685249,0.0011738201,0.012193469,-0.0013418675,0.038485017,0.03181148,-0.0226495,0.01596776,0.04475468,0.0039090584,-0.04723135,0.003482832,0.029590383,0.017119836,0.028454376,-0.05460813,0.0019611483,-0.0068583502,0.0013748576,-0.030787064,0.05385165,0.007944569,0.008345625,-0.058844984,-0.0025350181,-0.004246014,-0.0011356291,-0.042124767,0.031748727,0.06067914,0.008166059,-0.02661046,0.0028646481,0.00043432476,0.020431329,-0.024910446,-0.039777193,-0.057331722,-0.006967385,-0.0058764997,0.041426532,0.0018769598,-0.014410706,0.029221848,-0.032103606,-0.067021415,-0.030718474,0.015490286,0.06478278,-0.014241948,0.049266234,-0.027592987,-0.0032291042,0.009208969,-0.01467099,-0.01190183,0.015935918,-0.037838634,-0.0487443,-0.05232678,0.04594956,-0.004006418,0.062651604,-0.012351119,0.011715257,0.03288163,-0.04548299,0.029808164,0.0033655234,-0.09476715,0.02512503,0.00830549,0.023335991,0.011184153,-0.05534715,-0.004162136,-0.031148072,-0.02958299,-0.018406726,-0.026684033,-0.037341267,0.019787123,0.024137575,0.01304193,-0.012794674,0.031652782,-0.0097523965,-0.009720077,-0.0292528,0.024202924,0.02955116,0.03198876,-0.04173504,0.002682897,0.0193691,-0.08659366,0.0025485489,0.028556671,0.012970446,-0.026657524,0.0014641584,0.0074464143,0.0043460904,-0.0048561464,0.007977423,-0.0436552,-0.05346335,-0.038209006,-0.05571693,0.009330459,-0.019948231,0.017464578,-0.0031564357,0.060026467,0.026952846,0.02896067,-0.06664844,0.016173657,0.011270502,-0.055966303,-0.025629396,0.02571074,-0.08090365,-0.025001433,-0.031086687,-0.004146124,-0.049861453,0.020222941,0.015456411,0.0077146124,0.009867051,-0.029238077,0.07118522,-0.080115326,-0.010208085,-0.07571283,0.011034996,-0.02568432,0.004527994,-0.014249031,-0.016358359,0.021024438,0.023814758,-0.056341976,-0.011260372,0.023768418,-0.047205932,-0.016378198,0.054092422,-0.07511923,-0.0076308744,0.0055017984,-0.02276164,0.01611661,-0.0019823704,0.018284224,0.055376083,0.0035932322,-0.06712343,0.01765293,0.014758389,0.08399738,-0.052166313,0.035107434,-0.011510554,0.070987165,0.04401906,-0.0065648663,0.023489142,0.027713832,-0.028964356,-0.039451055,0.047827076,0.030841473,0.019041656,-0.008740955,0.05760259,-0.015519071,-0.053754095,-0.011711939,0.015404935,-0.03583585,-0.011837044,0.0017005795,-0.03671196,0.0035007477,0.06730834,-0.00034324452,0.0707321,0.05170259,0.039512068,-0.0031316478,-0.041031547,0.051410057,0.022538865,0.019678937,-0.029061437,0.045823812,0.016274756,-0.067505494,-0.022378532,-0.046288446,-0.008261575,0.017798191,0.016056059,0.083458,0.04087625,0.036497213,-0.026773516,0.011421056,0.0057950793,0.06626137,0.018427318,0.067550644,0.033718966,0.011460538,-0.041400693,-0.029645573,-0.012885611,-0.026848676,0.0260204,0.048148982,0.010764149,0.07518973,0.043584,0.039624583,0.08745589,-0.024112128,-0.03551472,0.03919101,-0.026498077,0.017956842,-0.001548498,0.0471768,0.017613806,0.0038352634,-0.064901076,-0.021576952,0.018220339,0.044335797,0.020892462,-0.03413251,0.011676303,0.061106574,-0.020213235,-0.0037984746,-0.037306324,-0.020915668,-0.026384363,-0.049569968,-0.02489176,0.03447154,-0.004121187,-0.06861158,-0.029269023,0.0097146975,0.024059681,0.06590202,-0.112440564,0.002195579,0.02594603,0.0066903066,-0.0053362558,0.03609564,0.014922766,-0.008931551,-0.014738667,-0.00917241,0.059222274,-0.014848091,0.018527439,0.023368422,-0.07770195,0.03170527,0.013057758,-0.06268228,-0.06138754,0.053749435,-0.025376817,0.020896176,0.052068543,0.046705108,0.00017629178,0.0042901225,0.011621873,-0.000027981896,-0.025708558,0.036443308,0.0062313266,0.030337915,0.06189288,0.0040720413,-0.018444683,0.040335715,-0.00855009,-0.010356595,-0.048750214,-0.035812963,-0.035557397,-0.09698754,-0.009686135,0.015438121,-0.007987477,-0.08525906,0.037931383,0.006694286,0.0031870008,0.020566875,-0.036611382,0.0024674032,-0.02205443,0.017853247,-0.014496533,0.043321203,0.02747475,0.028320346,0.03933114,-0.014861687,-0.024629394,-0.01940692,-0.0105008595,-0.0007531758,0.03149479,-0.010113217]"
